month,scheme_name,avg_nav,min_nav,max_nav
2026-05,Kotak Bluechip Fund - Regular - Growth,428.7566,216.0433,484.6292
2026-05,Kotak Emerging Equity Fund - Regular - Growth,79.7594,77.9702,82.6457
2026-05,Kotak Flexicap Fund - Regular - Growth,171.2019,163.2397,177.2357
2026-05,Kotak Liquid Fund - Regular - Growth,4255.0443,4240.9097,4268.5497
2026-05,Mirae Asset Emerging Bluechip Fund - Regular - Growth,199.9504,194.1395,205.451
2026-05,Mirae Asset Large Cap Fund - Regular - Growth,238.2183,229.4356,248.9371
2026-05,Mirae Asset Tax Saver Fund - Regular - Growth,90.9565,86.7147,97.7435
2026-05,Nippon India ETF Nifty 50 BeES,326.5614,322.8585,333.3364
2026-05,Nippon India Gilt Securities Fund - Regular - Growth,37.4903,37.3136,37.8243
2026-05,Nippon India Large Cap Fund - Direct - Growth,89.5148,86.9882,92.6175
2026-05,Nippon India Large Cap Fund - Regular - Growth,108.5023,99.9072,110.9634
2026-05,Nippon India Small Cap Fund - Regular - Growth,135.2072,129.8933,138.9727
2026-05,SBI Bluechip Fund - Direct Plan - Growth,134.7335,131.3841,139.4982
2026-05,SBI Bluechip Fund - Regular Plan - Growth,142.12,104.6166,151.4373
2026-05,SBI Magnum Gilt Fund - Regular Plan - Growth,54.4627,54.2038,54.7523
2026-05,SBI Small Cap Fund - Direct Plan - Growth,101.9096,98.9917,105.5211
2026-05,SBI Small Cap Fund - Regular Plan - Growth,310.1831,290.7545,322.0353
2026-05,UTI Flexi Cap Fund - Regular - Growth,366.5424,354.3561,378.9657
2026-05,UTI Mid Cap Fund - Regular - Growth,125.4308,122.8589,127.9195
2026-05,UTI Nifty 50 Index Fund - Regular - Growth,184.5057,180.4376,187.9295
2026-04,ABSL Frontline Equity Fund - Regular - Growth,773.5203,738.8707,808.0982
2026-04,ABSL Liquid Fund - Regular - Growth,406.479,405.2183,407.8944
2026-04,ABSL Small Cap Fund - Regular - Growth,55.5902,52.4339,61.6463
2026-04,Axis Bluechip Fund - Direct - Growth,52.9487,51.4692,54.1703
2026-04,Axis Bluechip Fund - Regular - Growth,776.9015,50.4202,6145.7049
2026-04,Axis Midcap Fund - Regular - Growth,192.6332,180.6053,203.0873
2026-04,Axis Small Cap Fund - Regular - Growth,63.9175,56.232,68.5541
2026-04,DSP Midcap Fund - Regular - Growth,247.4555,244.7721,251.6502
2026-04,DSP Small Cap Fund - Regular - Growth,305.9397,276.2783,336.6937
2026-04,DSP Top 100 Equity Fund - Regular - Growth,606.4239,588.9147,626.765
2026-04,HDFC Mid-Cap Opportunities Fund - Direct - Growth,179.4685,173.1277,186.8107
2026-04,HDFC Mid-Cap Opportunities Fund - Regular - Growth,359.2601,346.2639,367.6979
2026-04,HDFC Short Term Debt Fund - Regular - Growth,31.9267,31.666,32.1871
2026-04,HDFC Top 100 Fund - Direct Plan - Growth,1110.7602,177.9961,1286.0621
2026-04,HDFC Top 100 Fund - Regular Plan - Growth,610.2515,592.9127,628.9532
2026-04,ICICI Pru Bluechip Fund - Direct - Growth,156.2535,150.8086,161.457
2026-04,ICICI Pru Bluechip Fund - Regular - Growth,111.9983,105.4928,115.5493
2026-04,ICICI Pru Liquid Fund - Regular - Growth,384.7002,383.2788,386.1116
2026-04,ICICI Pru Midcap Fund - Regular - Growth,453.4751,435.0009,467.2968
2026-04,ICICI Pru Value Discovery Fund - Regular - Growth,399.049,389.6789,408.6439
2026-04,Kotak Bluechip Fund - Regular - Growth,413.2015,213.8632,447.7052
2026-04,Kotak Emerging Equity Fund - Regular - Growth,76.2123,72.996,78.6402
2026-04,Kotak Flexicap Fund - Regular - Growth,176.6595,169.6283,180.7074
2026-04,Kotak Liquid Fund - Regular - Growth,4227.4038,4215.0196,4236.7903
2026-04,Mirae Asset Emerging Bluechip Fund - Regular - Growth,201.4964,191.0213,209.3612
2026-04,Mirae Asset Large Cap Fund - Regular - Growth,244.2687,239.3131,251.6557
2026-04,Mirae Asset Tax Saver Fund - Regular - Growth,85.221,81.9248,88.2859
2026-04,Nippon India ETF Nifty 50 BeES,321.401,315.4056,330.3958
2026-04,Nippon India Gilt Securities Fund - Regular - Growth,37.1208,36.8778,37.563
2026-04,Nippon India Large Cap Fund - Direct - Growth,86.3151,84.3737,90.0417
2026-04,Nippon India Large Cap Fund - Regular - Growth,110.4818,99.951,114.4385
2026-04,Nippon India Small Cap Fund - Regular - Growth,126.1611,117.1975,133.3573
2026-04,SBI Bluechip Fund - Direct Plan - Growth,135.5403,132.6842,138.3804
2026-04,SBI Bluechip Fund - Regular Plan - Growth,134.2484,104.6544,144.1112
2026-04,SBI Magnum Gilt Fund - Regular Plan - Growth,54.7162,54.308,55.0061
2026-04,SBI Small Cap Fund - Direct Plan - Growth,98.4522,95.9093,100.4406
2026-04,SBI Small Cap Fund - Regular Plan - Growth,278.0965,270.7612,285.5057
2026-04,UTI Flexi Cap Fund - Regular - Growth,375.8908,366.1633,383.9967
2026-04,UTI Mid Cap Fund - Regular - Growth,127.2766,122.2659,134.636
2026-04,UTI Nifty 50 Index Fund - Regular - Growth,179.8859,174.4421,186.6155
2026-03,ABSL Frontline Equity Fund - Regular - Growth,733.871,715.3677,753.2313
2026-03,ABSL Liquid Fund - Regular - Growth,404.4809,403.5664,405.1635
2026-03,ABSL Small Cap Fund - Regular - Growth,59.4277,56.4598,63.6771
2026-03,Axis Bluechip Fund - Direct - Growth,51.4105,50.3377,52.3699
2026-03,Axis Bluechip Fund - Regular - Growth,312.2695,49.4661,6050.7733
2026-03,Axis Midcap Fund - Regular - Growth,200.6428,196.0668,206.0038
2026-03,Axis Small Cap Fund - Regular - Growth,68.0263,65.725,71.8837
2026-03,DSP Midcap Fund - Regular - Growth,241.9794,237.7973,248.7028
2026-03,DSP Small Cap Fund - Regular - Growth,263.0494,250.714,284.5756
2026-03,DSP Top 100 Equity Fund - Regular - Growth,611.2018,587.7588,630.797
2026-03,HDFC Mid-Cap Opportunities Fund - Direct - Growth,172.0101,163.4697,177.3286
2026-03,HDFC Mid-Cap Opportunities Fund - Regular - Growth,340.6847,332.0001,345.9163
2026-03,HDFC Short Term Debt Fund - Regular - Growth,31.5655,31.2896,31.7173
2026-03,HDFC Top 100 Fund - Direct Plan - Growth,1116.3799,186.7009,1224.703
2026-03,HDFC Top 100 Fund - Regular Plan - Growth,588.144,570.4206,608.9224
2026-03,ICICI Pru Bluechip Fund - Direct - Growth,158.8097,153.1463,164.2321
2026-03,ICICI Pru Bluechip Fund - Regular - Growth,106.2978,101.8901,110.3949
2026-03,ICICI Pru Liquid Fund - Regular - Growth,381.9102,380.8724,383.0932
2026-03,ICICI Pru Midcap Fund - Regular - Growth,447.7343,429.6071,465.7889
2026-03,ICICI Pru Value Discovery Fund - Regular - Growth,403.5703,396.0467,410.2909
2026-03,Kotak Bluechip Fund - Regular - Growth,424.4097,220.1536,449.617
2026-03,Kotak Emerging Equity Fund - Regular - Growth,71.712,68.416,74.6071
2026-03,Kotak Flexicap Fund - Regular - Growth,162.0513,157.3064,169.9953
2026-03,Kotak Liquid Fund - Regular - Growth,4204.9449,4193.7885,4212.869
2026-03,Mirae Asset Emerging Bluechip Fund - Regular - Growth,190.7117,188.4581,194.0699
2026-03,Mirae Asset Large Cap Fund - Regular - Growth,232.8247,220.3717,244.6075
2026-03,Mirae Asset Tax Saver Fund - Regular - Growth,80.2011,77.3541,84.3374
2026-03,Nippon India ETF Nifty 50 BeES,322.8771,315.9598,332.4557
2026-03,Nippon India Gilt Securities Fund - Regular - Growth,37.1609,36.8985,37.3141
2026-03,Nippon India Large Cap Fund - Direct - Growth,86.171,83.204,88.2772
2026-03,Nippon India Large Cap Fund - Regular - Growth,104.2346,99.8834,108.3595
2026-03,Nippon India Small Cap Fund - Regular - Growth,110.7774,101.8125,118.8264
2026-03,SBI Bluechip Fund - Direct Plan - Growth,136.6834,134.0984,139.1069
2026-03,SBI Bluechip Fund - Regular Plan - Growth,129.1346,110.296,132.0546
2026-03,SBI Magnum Gilt Fund - Regular Plan - Growth,54.6141,54.3323,54.854
2026-03,SBI Small Cap Fund - Direct Plan - Growth,95.3664,92.8185,99.7613
2026-03,SBI Small Cap Fund - Regular Plan - Growth,263.0337,250.8404,278.5436
2026-03,UTI Flexi Cap Fund - Regular - Growth,372.8821,367.0657,379.5173
2026-03,UTI Mid Cap Fund - Regular - Growth,142.2243,134.5551,149.0875
2026-03,UTI Nifty 50 Index Fund - Regular - Growth,180.5722,177.9558,183.4956
2026-02,ABSL Frontline Equity Fund - Regular - Growth,660.8941,613.1829,706.4005
2026-02,ABSL Liquid Fund - Regular - Growth,402.1449,401.1509,403.3493
2026-02,ABSL Small Cap Fund - Regular - Growth,58.8615,56.0872,60.8642
2026-02,Axis Bluechip Fund - Direct - Growth,52.3841,50.9361,53.8218
2026-02,Axis Bluechip Fund - Regular - Growth,1056.6466,53.8806,6104.7264
2026-02,Axis Midcap Fund - Regular - Growth,202.9602,194.117,210.2634
2026-02,Axis Small Cap Fund - Regular - Growth,66.4707,63.7278,69.5446
2026-02,DSP Midcap Fund - Regular - Growth,246.0775,236.2785,256.1155
2026-02,DSP Small Cap Fund - Regular - Growth,249.4288,241.01,261.4393
2026-02,DSP Top 100 Equity Fund - Regular - Growth,627.9911,617.8198,640.3705
2026-02,HDFC Mid-Cap Opportunities Fund - Direct - Growth,168.2561,162.3609,176.4843
2026-02,HDFC Mid-Cap Opportunities Fund - Regular - Growth,329.9236,317.9584,347.7205
2026-02,HDFC Short Term Debt Fund - Regular - Growth,31.9742,31.5886,32.2229
2026-02,HDFC Top 100 Fund - Direct Plan - Growth,946.693,173.8471,1117.8145
2026-02,HDFC Top 100 Fund - Regular Plan - Growth,593.4026,581.5162,605.3622
2026-02,ICICI Pru Bluechip Fund - Direct - Growth,155.325,150.8186,160.4539
2026-02,ICICI Pru Bluechip Fund - Regular - Growth,103.3147,97.52,111.5357
2026-02,ICICI Pru Liquid Fund - Regular - Growth,379.9804,379.2426,380.8764
2026-02,ICICI Pru Midcap Fund - Regular - Growth,433.3492,401.1381,457.321
2026-02,ICICI Pru Value Discovery Fund - Regular - Growth,391.9845,377.1016,404.2808
2026-02,Kotak Bluechip Fund - Regular - Growth,409.4924,215.3687,455.6616
2026-02,Kotak Emerging Equity Fund - Regular - Growth,67.985,65.384,69.5313
2026-02,Kotak Flexicap Fund - Regular - Growth,166.1264,161.1089,169.7841
2026-02,Kotak Liquid Fund - Regular - Growth,4181.9668,4170.1262,4195.3674
2026-02,Mirae Asset Emerging Bluechip Fund - Regular - Growth,193.7455,188.0696,199.804
2026-02,Mirae Asset Large Cap Fund - Regular - Growth,225.702,220.4947,230.4602
2026-02,Mirae Asset Tax Saver Fund - Regular - Growth,77.6907,76.3575,79.3548
2026-02,Nippon India ETF Nifty 50 BeES,327.4611,323.8915,331.613
2026-02,Nippon India Gilt Securities Fund - Regular - Growth,37.3385,37.1819,37.4725
2026-02,Nippon India Large Cap Fund - Direct - Growth,86.1642,83.229,88.1034
2026-02,Nippon India Large Cap Fund - Regular - Growth,100.5427,93.2361,106.1272
2026-02,Nippon India Small Cap Fund - Regular - Growth,100.5413,97.1392,104.3418
2026-02,SBI Bluechip Fund - Direct Plan - Growth,135.6587,133.5418,138.3707
2026-02,SBI Bluechip Fund - Regular Plan - Growth,122.0007,103.8813,127.2098
2026-02,SBI Magnum Gilt Fund - Regular Plan - Growth,54.7731,54.1463,55.2211
2026-02,SBI Small Cap Fund - Direct Plan - Growth,89.9744,84.7099,94.6144
2026-02,SBI Small Cap Fund - Regular Plan - Growth,244.388,236.8417,260.2234
2026-02,UTI Flexi Cap Fund - Regular - Growth,393.4205,376.8293,404.9537
2026-02,UTI Mid Cap Fund - Regular - Growth,137.8338,133.596,145.0693
2026-02,UTI Nifty 50 Index Fund - Regular - Growth,181.2175,178.7178,183.7884
2026-01,ABSL Frontline Equity Fund - Regular - Growth,595.0794,561.922,615.0813
2026-01,ABSL Liquid Fund - Regular - Growth,399.8784,399.0808,400.8662
2026-01,ABSL Small Cap Fund - Regular - Growth,63.9235,60.6918,66.7762
2026-01,Axis Bluechip Fund - Direct - Growth,55.4206,52.5507,57.197
2026-01,Axis Bluechip Fund - Regular - Growth,558.5859,54.1133,6156.7532
2026-01,Axis Midcap Fund - Regular - Growth,190.5042,185.1441,197.032
2026-01,Axis Small Cap Fund - Regular - Growth,66.9449,62.3412,70.9486
2026-01,DSP Midcap Fund - Regular - Growth,226.4417,220.5904,238.3526
2026-01,DSP Small Cap Fund - Regular - Growth,253.5149,245.9189,264.4856
2026-01,DSP Top 100 Equity Fund - Regular - Growth,634.2956,612.1008,658.5042
2026-01,HDFC Mid-Cap Opportunities Fund - Direct - Growth,159.1098,156.1168,162.6652
2026-01,HDFC Mid-Cap Opportunities Fund - Regular - Growth,295.3339,282.5751,315.0385
2026-01,HDFC Short Term Debt Fund - Regular - Growth,32.1311,31.9706,32.288
2026-01,HDFC Top 100 Fund - Direct Plan - Growth,946.8482,173.782,1087.9675
2026-01,HDFC Top 100 Fund - Regular Plan - Growth,632.3917,599.8551,654.5969
2026-01,ICICI Pru Bluechip Fund - Direct - Growth,156.8906,153.6233,160.8772
2026-01,ICICI Pru Bluechip Fund - Regular - Growth,108.4794,97.7184,111.3419
2026-01,ICICI Pru Liquid Fund - Regular - Growth,377.9488,376.6939,379.2349
2026-01,ICICI Pru Midcap Fund - Regular - Growth,406.4982,396.816,419.5887
2026-01,ICICI Pru Value Discovery Fund - Regular - Growth,370.9263,357.4814,384.4074
2026-01,Kotak Bluechip Fund - Regular - Growth,409.9849,216.7627,451.1378
2026-01,Kotak Emerging Equity Fund - Regular - Growth,69.2476,66.4251,73.4051
2026-01,Kotak Flexicap Fund - Regular - Growth,164.3629,162.2385,167.0861
2026-01,Kotak Liquid Fund - Regular - Growth,4155.2429,4148.1278,4167.7485
2026-01,Mirae Asset Emerging Bluechip Fund - Regular - Growth,197.7982,188.7684,201.5214
2026-01,Mirae Asset Large Cap Fund - Regular - Growth,229.3946,218.8448,239.2674
2026-01,Mirae Asset Tax Saver Fund - Regular - Growth,74.9087,70.6987,76.9442
2026-01,Nippon India ETF Nifty 50 BeES,326.3846,319.3832,333.8906
2026-01,Nippon India Gilt Securities Fund - Regular - Growth,37.1327,36.8765,37.4446
2026-01,Nippon India Large Cap Fund - Direct - Growth,82.5426,81.1655,84.3696
2026-01,Nippon India Large Cap Fund - Regular - Growth,97.6233,92.9211,105.4001
2026-01,Nippon India Small Cap Fund - Regular - Growth,108.0582,103.9495,111.5998
2026-01,SBI Bluechip Fund - Direct Plan - Growth,132.5395,130.3323,134.5664
2026-01,SBI Bluechip Fund - Regular Plan - Growth,125.2557,104.7025,129.7489
2026-01,SBI Magnum Gilt Fund - Regular Plan - Growth,54.351,53.7884,54.7293
2026-01,SBI Small Cap Fund - Direct Plan - Growth,89.433,85.6958,95.6554
2026-01,SBI Small Cap Fund - Regular Plan - Growth,260.8575,233.9493,272.2831
2026-01,UTI Flexi Cap Fund - Regular - Growth,391.5158,384.8349,397.499
2026-01,UTI Mid Cap Fund - Regular - Growth,142.3296,135.3058,148.1889
2026-01,UTI Nifty 50 Index Fund - Regular - Growth,177.5731,172.2905,181.7829
2025-12,ABSL Frontline Equity Fund - Regular - Growth,562.422,549.3452,578.2853
2025-12,ABSL Liquid Fund - Regular - Growth,397.5277,396.0398,398.913
2025-12,ABSL Small Cap Fund - Regular - Growth,65.5048,62.1423,68.3822
2025-12,Axis Bluechip Fund - Direct - Growth,57.7253,54.6974,59.9798
2025-12,Axis Bluechip Fund - Regular - Growth,1405.3233,52.0498,6004.0068
2025-12,Axis Midcap Fund - Regular - Growth,201.5594,189.4566,211.7678
2025-12,Axis Small Cap Fund - Regular - Growth,68.8695,62.8107,71.6017
2025-12,DSP Midcap Fund - Regular - Growth,225.4017,215.87,241.2691
2025-12,DSP Small Cap Fund - Regular - Growth,253.7402,240.2371,265.2696
2025-12,DSP Top 100 Equity Fund - Regular - Growth,615.8759,599.417,623.1557
2025-12,HDFC Mid-Cap Opportunities Fund - Direct - Growth,157.4323,152.1743,162.1563
2025-12,HDFC Mid-Cap Opportunities Fund - Regular - Growth,273.9254,259.8791,287.7402
2025-12,HDFC Short Term Debt Fund - Regular - Growth,32.424,32.2873,32.619
2025-12,HDFC Top 100 Fund - Direct Plan - Growth,796.1576,170.9127,1040.8503
2025-12,HDFC Top 100 Fund - Regular Plan - Growth,618.9595,600.1903,630.7032
2025-12,ICICI Pru Bluechip Fund - Direct - Growth,150.5252,143.8948,159.725
2025-12,ICICI Pru Bluechip Fund - Regular - Growth,111.8073,96.5719,115.7081
2025-12,ICICI Pru Liquid Fund - Regular - Growth,374.8703,373.9933,376.398
2025-12,ICICI Pru Midcap Fund - Regular - Growth,390.3528,362.608,407.5011
2025-12,ICICI Pru Value Discovery Fund - Regular - Growth,362.3879,355.1732,370.3188
2025-12,Kotak Bluechip Fund - Regular - Growth,383.1178,216.5917,446.4296
2025-12,Kotak Emerging Equity Fund - Regular - Growth,73.6141,72.2833,75.7136
2025-12,Kotak Flexicap Fund - Regular - Growth,163.9612,158.4963,166.9027
2025-12,Kotak Liquid Fund - Regular - Growth,4134.4688,4122.2745,4148.6612
2025-12,Mirae Asset Emerging Bluechip Fund - Regular - Growth,184.8874,176.7104,191.2608
2025-12,Mirae Asset Large Cap Fund - Regular - Growth,231.7085,227.9218,236.9011
2025-12,Mirae Asset Tax Saver Fund - Regular - Growth,75.1369,70.1891,79.62
2025-12,Nippon India ETF Nifty 50 BeES,314.4274,304.4638,328.1052
2025-12,Nippon India Gilt Securities Fund - Regular - Growth,36.5539,36.0718,37.0127
2025-12,Nippon India Large Cap Fund - Direct - Growth,79.5266,77.3668,81.4768
2025-12,Nippon India Large Cap Fund - Regular - Growth,96.7076,88.3738,105.2738
2025-12,Nippon India Small Cap Fund - Regular - Growth,110.6819,106.621,115.2641
2025-12,SBI Bluechip Fund - Direct Plan - Growth,130.7793,128.7414,133.2094
2025-12,SBI Bluechip Fund - Regular Plan - Growth,117.9196,103.3327,124.0939
2025-12,SBI Magnum Gilt Fund - Regular Plan - Growth,53.7477,53.211,54.1887
2025-12,SBI Small Cap Fund - Direct Plan - Growth,93.2021,88.3758,95.8669
2025-12,SBI Small Cap Fund - Regular Plan - Growth,248.7345,239.6025,259.5001
2025-12,UTI Flexi Cap Fund - Regular - Growth,392.5102,379.3323,400.6038
2025-12,UTI Mid Cap Fund - Regular - Growth,135.659,125.548,144.4171
2025-12,UTI Nifty 50 Index Fund - Regular - Growth,173.5582,167.7969,177.548
2025-11,ABSL Frontline Equity Fund - Regular - Growth,574.243,560.9194,587.112
2025-11,ABSL Liquid Fund - Regular - Growth,394.7781,393.5955,396.1134
2025-11,ABSL Small Cap Fund - Regular - Growth,64.7939,62.2751,68.7458
2025-11,Axis Bluechip Fund - Direct - Growth,56.1309,54.3101,59.7557
2025-11,Axis Bluechip Fund - Regular - Growth,1847.296,50.271,6003.0596
2025-11,Axis Midcap Fund - Regular - Growth,198.2236,191.0784,207.2055
2025-11,Axis Small Cap Fund - Regular - Growth,72.9223,69.399,74.561
2025-11,DSP Midcap Fund - Regular - Growth,241.632,237.3319,247.0824
2025-11,DSP Small Cap Fund - Regular - Growth,247.3279,232.5437,255.9754
2025-11,DSP Top 100 Equity Fund - Regular - Growth,589.1943,574.411,599.7701
2025-11,HDFC Mid-Cap Opportunities Fund - Direct - Growth,160.5713,154.862,165.6762
2025-11,HDFC Mid-Cap Opportunities Fund - Regular - Growth,259.1477,252.8949,269.4549
2025-11,HDFC Short Term Debt Fund - Regular - Growth,32.3941,31.8841,32.6726
2025-11,HDFC Top 100 Fund - Direct Plan - Growth,725.9282,170.8118,982.5975
2025-11,HDFC Top 100 Fund - Regular Plan - Growth,601.5346,579.3457,625.9189
2025-11,ICICI Pru Bluechip Fund - Direct - Growth,133.6094,125.2277,141.5767
2025-11,ICICI Pru Bluechip Fund - Regular - Growth,110.3228,96.6916,115.2179
2025-11,ICICI Pru Liquid Fund - Regular - Growth,373.2263,372.5418,373.9177
2025-11,ICICI Pru Midcap Fund - Regular - Growth,373.4889,364.4675,386.2778
2025-11,ICICI Pru Value Discovery Fund - Regular - Growth,346.4448,339.8991,352.7159
2025-11,Kotak Bluechip Fund - Regular - Growth,362.6869,215.8426,430.4995
2025-11,Kotak Emerging Equity Fund - Regular - Growth,77.509,73.2947,81.9896
2025-11,Kotak Flexicap Fund - Regular - Growth,148.4521,140.9302,154.9461
2025-11,Kotak Liquid Fund - Regular - Growth,4108.2784,4092.9334,4121.0972
2025-11,Mirae Asset Emerging Bluechip Fund - Regular - Growth,187.0072,182.0431,191.5242
2025-11,Mirae Asset Large Cap Fund - Regular - Growth,223.3568,219.2248,229.8919
2025-11,Mirae Asset Tax Saver Fund - Regular - Growth,74.6274,70.3094,79.2894
2025-11,Nippon India ETF Nifty 50 BeES,304.2319,293.2902,311.1592
2025-11,Nippon India Gilt Securities Fund - Regular - Growth,35.862,35.6162,36.0575
2025-11,Nippon India Large Cap Fund - Direct - Growth,81.571,79.4089,84.1981
2025-11,Nippon India Large Cap Fund - Regular - Growth,97.7414,88.5042,104.659
2025-11,Nippon India Small Cap Fund - Regular - Growth,110.5989,107.5044,115.6393
2025-11,SBI Bluechip Fund - Direct Plan - Growth,128.1932,126.2179,131.4468
2025-11,SBI Bluechip Fund - Regular Plan - Growth,111.6903,103.3491,118.0892
2025-11,SBI Magnum Gilt Fund - Regular Plan - Growth,53.4799,53.1628,53.9321
2025-11,SBI Small Cap Fund - Direct Plan - Growth,83.9035,79.5003,87.8504
2025-11,SBI Small Cap Fund - Regular Plan - Growth,230.9481,216.5868,247.6224
2025-11,UTI Flexi Cap Fund - Regular - Growth,399.7479,385.7337,410.0973
2025-11,UTI Mid Cap Fund - Regular - Growth,126.3694,122.5591,132.2004
2025-11,UTI Nifty 50 Index Fund - Regular - Growth,169.5323,167.8376,171.3797
2025-10,ABSL Frontline Equity Fund - Regular - Growth,574.2503,561.5224,585.1078
2025-10,ABSL Liquid Fund - Regular - Growth,392.0124,391.0236,393.3788
2025-10,ABSL Small Cap Fund - Regular - Growth,60.4521,57.3864,62.3903
2025-10,Axis Bluechip Fund - Direct - Growth,52.9975,51.0472,54.7321
2025-10,Axis Bluechip Fund - Regular - Growth,1676.0755,50.1057,6002.278
2025-10,Axis Midcap Fund - Regular - Growth,188.0544,171.9458,200.9669
